best-d,best,base+g,base
293,221,416,477
293,221,416,479
293,221,416,479
293,221,416,479
293,221,416,479
293,221,416,479
293,221,416,479
293,221,416,479
293,221,416,481
294,221,416,481
294,221,417,481
294,221,417,481
294,221,417,481
294,221,417,481
294,221,417,483
294,221,417,483
294,221,417,483
294,221,417,483
294,221,417,483
294,221,417,483
294,221,418,483
294,221,418,485
294,221,418,485
294,221,418,485
294,221,418,485
294,221,418,485
294,221,418,485
294,221,418,487
294,221,419,487
294,221,419,487
294,221,419,487
294,221,419,487
294,221,419,487
294,221,419,489
294,221,419,489
294,221,419,489
294,221,419,489
294,224,419,489
294,224,420,489
294,224,420,489
294,224,420,491
294,224,420,491
294,224,420,491
296,224,420,491
296,224,420,491
296,224,420,491
296,224,420,491
296,224,420,493
296,224,420,493
296,224,420,493
296,224,421,493
296,224,421,493
296,224,421,493
296,224,421,495
296,224,421,495
296,224,421,495
296,224,421,495
296,224,421,495
296,224,421,495
296,224,421,495
296,224,422,497
296,224,422,497
296,224,422,497
296,224,422,497
296,224,422,497
297,224,422,497
297,224,422,497
297,224,422,499
297,224,422,499
297,224,422,499
297,224,423,499
297,224,423,499
297,224,423,499
297,224,423,499
297,224,423,501
297,224,423,501
297,224,423,501
297,224,423,501
297,224,423,501
297,224,423,501
297,224,423,501
297,224,423,503
297,224,424,503
297,224,424,503
297,224,424,503
297,224,424,503
297,224,424,503
297,224,424,503
297,224,424,505
297,224,424,505
297,224,424,505
297,224,424,505
297,224,425,505
297,224,425,505
297,224,425,505
297,224,425,507
297,224,425,507
297,224,425,507
297,224,425,507
297,224,425,507
297,224,425,507
297,224,425,507
297,227,425,509
297,227,425,509
297,227,426,509
299,227,426,509
299,227,426,509
299,227,426,509
299,227,426,509
299,227,426,511
299,227,426,511
299,227,426,511
299,227,426,511
299,227,426,511
299,227,428,511
299,227,428,511
299,227,428,513
299,227,428,513
299,227,428,513
299,227,428,513
299,227,429,513
299,227,429,513
299,227,429,513
299,227,429,515
299,227,429,515
300,227,429,515
300,227,429,515
300,227,429,515
300,227,429,515
300,227,429,515
300,227,430,517
300,227,430,517
300,227,430,517
300,227,430,517
300,227,430,517
300,227,430,517
300,227,430,517
300,227,430,519
300,227,430,519
300,227,430,519
300,227,431,519
300,227,431,519
300,227,431,519
300,227,431,519
300,227,431,521
300,227,431,521
300,227,431,521
300,227,431,521
300,227,431,521
300,227,431,521
300,227,431,521
300,227,431,523
300,227,432,523
300,227,432,523
300,227,432,523
300,227,432,523
300,227,432,523
300,227,432,523
300,227,432,525
300,227,432,525
300,227,432,525
300,227,432,525
300,227,433,525
300,227,433,525
300,227,433,525
300,227,433,527
300,230,433,527
300,230,433,527
300,230,433,527
300,230,433,527
300,230,433,527
302,230,433,527
302,230,433,529
302,230,434,529
302,230,434,529
302,230,434,529
302,230,434,529
302,230,434,529
302,230,434,529
302,230,434,531
302,230,434,531
302,230,434,531
302,230,434,531
302,230,434,531
302,230,435,531
302,230,435,532
302,230,435,532
302,230,435,532
302,230,435,532
303,230,435,532
303,230,435,532
303,230,435,532
303,230,436,532
303,230,436,533
303,230,436,533
303,230,436,533
303,230,436,533
303,230,436,533
303,230,436,533
303,230,436,533
303,230,436,535
303,230,436,535
303,230,436,535
303,230,436,535
303,230,437,535
303,230,437,535
303,230,437,535
303,230,437,537
303,230,437,537
303,230,437,537
303,230,437,537
303,230,437,537
303,230,437,537
303,230,437,538
303,230,438,538
303,230,438,538
303,230,438,538
303,230,438,538
303,230,438,538
303,230,438,538
303,230,438,538
303,230,438,539
303,230,438,539
303,230,438,539
303,230,439,539
303,230,439,539
303,230,439,539
303,230,439,539
303,230,439,541
303,230,439,541
303,230,439,541
303,230,439,541
303,230,439,541
303,230,439,541
303,230,439,541
303,230,439,543
303,230,440,543
303,230,440,543
303,230,440,543
303,233,440,543
303,233,440,543
303,233,440,545
303,233,440,545
